"garden","meso_id","soil_id_fate","seed_id_fate","soil_id_combined","seed_id_combined"
"SUM",14,"HG","SR","HG","CR"
"SUM",14,"HG","SR","HG","OH"
"SUM",31,"SR","BB","SR","NG"
"SUM",45,"RC","RC","RC","AH"
"SUM",51,"BB","SR","BB","CR"
"SUM",56,"HR","BB","HR","TI"
"SUM",56,"HR","BB","HR","NG"
"SUM",69,"AH","SR","AH","CR"
"SUM",69,"AH","SR","AH","OH"
"SUM",71,"HR","TI","HR","NG"
"SUM",71,"HR","TI","HR","BB"
"SUM",74,"OH","HR","OH","TI"
"SUM",74,"OH","HR","OH","NG"
"SUM",76,"OH","NG","OH","TI"
"SUM",83,"CR","TI","CR","BB"
"SUM",89,"NG","RC","NG","NG"
"SUM",89,"NG","RC","NG","HR"
"SUM",94,"HR","TI","HR","NG"
"SUM",94,"HR","TI","HR","BB"
"SUM",102,"BB","SR","BB","CR"
"SUM",105,"NG","RC","NG","NG"
"SUM",105,"NG","RC","NG","HR"
"SUM",108,"HR","NG","HR","TI"
"SUM",108,"HR","NG","HR","BB"
"SUM",114,"RC","RC","RC","AH"
"SUM",117,"RC","TI","RC","NG"
"SUM",117,"RC","TI","RC","BB"
"SUM",120,"OH","TI","OH","NG"
"WIL",42,"SR","SR","SR","HG"
"WIL",42,"SR","SR","SR","AH"
"WIL",45,"RC","RC","RC","AH"
"WIL",45,"RC","RC","RC","CR"
"WIL",50,"HG","HR","HG","HG"
"WIL",51,"BB","CR","BB","SR"
"WIL",63,"AH","RC","AH","AH"
"WIL",65,"SR","NG","SR","BB"
"WIL",67,"BB","HR","BB","BB"
"WIL",67,"BB","HR","BB","RC"
"WIL",79,"OH","AH",NA,NA
"WIL",79,"OH","HG",NA,NA
"WIL",79,"OH","OH",NA,NA
"WIL",80,"RC","RC","RC","AH"
"WIL",82,"CR","BB","CR","TI"
"WIL",99,"SR","AH",NA,NA
"WIL",99,"SR","HG",NA,NA
"WIL",99,"SR","SR",NA,NA
"WIL",100,"CR","BB",NA,NA
"WIL",100,"CR","TI",NA,NA
"WIL",102,"BB","CR",NA,NA
"WIL",102,"BB","SR",NA,NA
"WIL",104,"TI","RC","TI","TI"
"WIL",104,"TI","RC","TI","HR"
"WIL",110,"HG","CR",NA,NA
"WIL",110,"HG","OH",NA,NA
"WIL",110,"HG","SR",NA,NA
"WIL",120,"OH","NG",NA,NA
"WIL",120,"OH","TI",NA,NA
